Unique Identifier,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,BACnet Type Str,Ground Truth Point Type,Schema Label,Location,Equipment Type,Equipment Ref,Equipment Subsystems
604_0_3013019,ap m rm 7402 aclg stpt,nae 104 n2 trunk 1 vav 47 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 7402,vav,,
604_0_3013020,ap m rm 7402 ahtg stpt,nae 104 n2 trunk 1 vav 47 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 7402,vav,,
604_0_3013029,ap m rm 7402 sup flow,nae 104 n2 trunk 1 vav 47 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 7402,vav,,
604_0_3013031,ap m rm 7402 wc adj,nae 104 n2 trunk 1 vav 47 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 7402,vav,,
604_0_3013032,ap m rm 7402 zn t,nae 104 n2 trunk 1 vav 47 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 7402,vav,,
604_0_3013034,ap m 7fle hall aclg stpt,nae 104 n2 trunk 1 vav 46 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,7fle hall,vav,,
604_0_3013035,ap m 7fle hall ahtg stpt,nae 104 n2 trunk 1 vav 46 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,7fle hall,vav,,
604_0_3013044,ap m 7fle hall sup flow,nae 104 n2 trunk 1 vav 46 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,7fle hall,vav,,
604_0_3013046,ap m 7fle hall wc adj,nae 104 n2 trunk 1 vav 46 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,7fle hall,vav,,
604_0_3013047,ap m 7fle hall zn t,nae 104 n2 trunk 1 vav 46 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,7fle hall,vav,,
604_0_3013049,ap m rm 7355 aclg stpt,nae 104 n2 trunk 1 vav 45 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 7355,vav,,
604_0_3013050,ap m rm 7355 ahtg stpt,nae 104 n2 trunk 1 vav 45 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 7355,vav,,
604_0_3013059,ap m rm 7355 sup flow,nae 104 n2 trunk 1 vav 45 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 7355,vav,,
604_0_3013061,ap m rm 7355 wc adj,nae 104 n2 trunk 1 vav 45 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 7355,vav,,
604_0_3013062,ap m rm 7355 zn t,nae 104 n2 trunk 1 vav 45 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 7355,vav,,
604_0_3013064,ap m rm 7421 aclg stpt,nae 104 n2 trunk 1 vav 44 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 7421,vav,,
604_0_3013065,ap m rm 7421 ahtg stpt,nae 104 n2 trunk 1 vav 44 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 7421,vav,,
604_0_3013074,ap m rm 7421 sup flow,nae 104 n2 trunk 1 vav 44 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 7421,vav,,
604_0_3013076,ap m rm 7421 wc adj,nae 104 n2 trunk 1 vav 44 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 7421,vav,,
604_0_3013077,ap m rm 7421 zn t,nae 104 n2 trunk 1 vav 44 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 7421,vav,,
604_0_3013078,ap m rm 7421 co2 lvl,nae 104 n2 trunk 1 vav 44 co2 lvl,co2 lvl,96.0,analog input,carbon dioxide sensor,co2 level sensor,rm 7421,vav,,
604_0_3013081,ap m rm 7301 aclg stpt,nae 104 n2 trunk 1 vav 43 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 7301,vav,,
604_0_3013082,ap m rm 7301 ahtg stpt,nae 104 n2 trunk 1 vav 43 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 7301,vav,,
604_0_3013091,ap m rm 7301 sup flow,nae 104 n2 trunk 1 vav 43 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 7301,vav,,
604_0_3013093,ap m rm 7301 wc adj,nae 104 n2 trunk 1 vav 43 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 7301,vav,,
604_0_3013094,ap m rm 7301 zn t,nae 104 n2 trunk 1 vav 43 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 7301,vav,,
604_0_3013096,ap m rm 6202 aclg stpt,nae 104 n2 trunk 1 vav 41 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 6202,vav,,
604_0_3013097,ap m rm 6202 ahtg stpt,nae 104 n2 trunk 1 vav 41 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 6202,vav,,
604_0_3013106,ap m rm 6202 sup flow,nae 104 n2 trunk 1 vav 41 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 6202,vav,,
604_0_3013108,ap m rm 6202 wc adj,nae 104 n2 trunk 1 vav 41 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 6202,vav,,
604_0_3013109,ap m rm 6202 zn t,nae 104 n2 trunk 1 vav 41 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 6202,vav,,
604_0_3013111,ap m rm 6218 aclg stpt,nae 104 n2 trunk 1 vav 40 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 6218,vav,,
604_0_3013112,ap m rm 6218 ahtg stpt,nae 104 n2 trunk 1 vav 40 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 6218,vav,,
604_0_3013121,ap m rm 6218 sup flow,nae 104 n2 trunk 1 vav 40 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 6218,vav,,
604_0_3013123,ap m rm 6218 wc adj,nae 104 n2 trunk 1 vav 40 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 6218,vav,,
604_0_3013124,ap m rm 6218 zn t,nae 104 n2 trunk 1 vav 40 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 6218,vav,,
604_0_3013125,ap m rm 6218 co2 lvl,nae 104 n2 trunk 1 vav 40 co2 lvl,co2 lvl,96.0,analog input,carbon dioxide sensor,co2 level sensor,rm 6218,vav,,
604_0_3013128,ap m rm 6240 aclg stpt,nae 104 n2 trunk 1 vav 39 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 6240,vav,,
604_0_3013129,ap m rm 6240 ahtg stpt,nae 104 n2 trunk 1 vav 39 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 6240,vav,,
604_0_3013138,ap m rm 6240 sup flow,nae 104 n2 trunk 1 vav 39 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 6240,vav,,
604_0_3013140,ap m rm 6240 wc adj,nae 104 n2 trunk 1 vav 39 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 6240,vav,,
604_0_3013141,ap m rm 6240 zn t,nae 104 n2 trunk 1 vav 39 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 6240,vav,,
604_0_3013142,ap m rm 6141 zn t,nae 104 n2 trunk 1 vav 36 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 6141,vav,,
604_0_3013144,ap m rm 5141 aclg stpt,nae 104 n2 trunk 1 vav 20 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 5141,vav,,
604_0_3013145,ap m rm 5141 ahtg stpt,nae 104 n2 trunk 1 vav 20 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 5141,vav,,
604_0_3013154,ap m rm 5141 sup flow,nae 104 n2 trunk 1 vav 20 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 5141,vav,,
604_0_3013156,ap m rm 5141 wc adj,nae 104 n2 trunk 1 vav 20 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 5141,vav,,
604_0_3013157,ap m rm 5141 zn t,nae 104 n2 trunk 1 vav 20 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 5141,vav,,
604_0_3013159,ap m rm 5202 aclg stpt,nae 104 n2 trunk 1 vav 18 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 5202,vav,,
604_0_3013160,ap m rm 5202 ahtg stpt,nae 104 n2 trunk 1 vav 18 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 5202,vav,,
604_0_3013169,ap m rm 5202 sup flow,nae 104 n2 trunk 1 vav 18 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 5202,vav,,
604_0_3013171,ap m rm 5202 wc adj,nae 104 n2 trunk 1 vav 18 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 5202,vav,,
604_0_3013172,ap m rm 5202 zn t,nae 104 n2 trunk 1 vav 18 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 5202,vav,,
604_0_3013173,ap m rm 5218 co2 lvl,nae 104 n2 trunk 1 vav 17 co2 lvl,co2 lvl,96.0,analog input,carbon dioxide sensor,co2 level sensor,rm 5218,vav,,
604_0_3013176,ap m rm 5240 aclg stpt,nae 104 n2 trunk 1 vav 16 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 5240,vav,,
604_0_3013177,ap m rm 5240 ahtg stpt,nae 104 n2 trunk 1 vav 16 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 5240,vav,,
604_0_3013186,ap m rm 5240 sup flow,nae 104 n2 trunk 1 vav 16 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 5240,vav,,
604_0_3013188,ap m rm 5240 wc adj,nae 104 n2 trunk 1 vav 16 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 5240,vav,,
604_0_3013189,ap m rm 5240 zn t,nae 104 n2 trunk 1 vav 16 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 5240,vav,,
604_0_3013191,ap m rm 5018 aclg stpt,nae 104 n2 trunk 1 vav 12 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 5018,vav,,
604_0_3013192,ap m rm 5018 ahtg stpt,nae 104 n2 trunk 1 vav 12 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 5018,vav,,
604_0_3013201,ap m rm 5018 sup flow,nae 104 n2 trunk 1 vav 12 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 5018,vav,,
604_0_3013203,ap m rm 5018 wc adj,nae 104 n2 trunk 1 vav 12 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 5018,vav,,
604_0_3013204,ap m rm 5018 zn t,nae 104 n2 trunk 1 vav 12 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 5018,vav,,
604_0_3013206,ap m rm 5301b aclg stpt,nae 104 n2 trunk 1 vav 69 aclg stpt,actual cooling setpoint,64.0,analog input,actual cooling setpoint,effective cooling temperature setpoint,rm 5301b,vav,,
604_0_3013207,ap m rm 5301b ahtg stpt,nae 104 n2 trunk 1 vav 69 ahtg stpt,actual heating setpoint,64.0,analog input,actual heating setpoint,effective heating temperature setpoint,rm 5301b,vav,,
604_0_3013216,ap m rm 5301b sup flow,nae 104 n2 trunk 1 vav 69 sup flow,supply air flow,84.0,analog input,supply air flow,supply air flow sensor,rm 5301b,vav,,
604_0_3013218,ap m rm 5301b wc adj,nae 104 n2 trunk 1 vav 69 wc adj,warm cool adjustment,64.0,analog input,warm cool adjust,warm cool adjust sensor,rm 5301b,vav,,
604_0_3013219,ap m rm 5301b zn t,nae 104 n2 trunk 1 vav 69 zn t,zone temperature,64.0,analog input,zone temperature,zone temperature sensor,rm 5301b,vav,,
604_0_3013221,ap m ef 1 e sp,nae 104 n2 trunk 1 unt e1 e sp1,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 1,unt,,
604_0_3013223,ap m ef 2 e sp,nae 104 n2 trunk 1 unt e1 e sp2,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 2,unt,,
604_0_3013232,ap m ef 3 e sp,nae 104 n2 trunk 1 unt e2 e sp1,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 3,unt,,
604_0_3013234,ap m ef 4 e sp,nae 104 n2 trunk 1 unt e2 e sp2,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 4,unt,,
604_0_3013243,ap m ef 5 e sp,nae 104 n2 trunk 1 unt e3 e sp1,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 5,unt,,
604_0_3013245,ap m ef 6 e sp,nae 104 n2 trunk 1 unt e3 e sp2,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 6,unt,,
604_0_3013254,ap m ef 7 e sp,nae 104 n2 trunk 1 unt e4 e sp1,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 7,unt,,
604_0_3013256,ap m ef 8 e sp,nae 104 n2 trunk 1 unt e4 e sp2,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 8,unt,,
604_0_3013265,ap m ef 9 e sp,nae 104 n2 trunk 1 unt e5 e sp1,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 9,unt,,
604_0_3013267,ap m ef 10 e sp,nae 104 n2 trunk 1 unt e5 e sp2,exhaust air static pressure,58.0,analog input,exhaust air static pressure,exhaust air static pressure sensor,ef 10,unt,,
604_0_3013275,current,nae 104 n2 trunk 1 vfd 1 current,,3.0,analog input,current,current sensor,,vfd,,
604_0_3013276,drv tmp,nae 104 n2 trunk 1 vfd 1 drv tmp,,62.0,analog input,drive temperature,drive temperature sensor,,vfd,,
604_0_3013277,energy k,nae 104 n2 trunk 1 vfd 1 energy k,,19.0,analog input,energy in kwh,energy sensor,,vfd,,
604_0_3013278,energy m,nae 104 n2 trunk 1 vfd 1 energy m,,49.0,analog input,energy in mwh,energy sensor,,vfd,,
604_0_3013279,freq,nae 104 n2 trunk 1 vfd 1 freq,,27.0,analog input,frequency,output frequency sensor,,vfd,,
604_0_3013280,last flt,nae 104 n2 trunk 1 vfd 1 last flt,,95.0,analog input,last fault,last fault code status,,vfd,,
604_0_3013281,speed,nae 104 n2 trunk 1 vfd 1 speed,,104.0,analog input,speed,motor speed sensor,,vfd,,
604_0_3013282,torque,nae 104 n2 trunk 1 vfd 1 torque,,98.0,analog input,torque,motor torque sensor,,vfd,,
604_0_3013292,ap m ef2 vfd current,nae 104 n2 trunk 1 vfd 2 current,load current,3.0,analog input,current,current sensor,ef 2,vfd,,
604_0_3013293,ap m ef2 vfd drv tmp,nae 104 n2 trunk 1 vfd 2 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 2,vfd,,
604_0_3013294,ap m ef2 vfd energy k,nae 104 n2 trunk 1 vfd 2 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 2,vfd,,
604_0_3013295,ap m ef2 vfd energy m,nae 104 n2 trunk 1 vfd 2 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 2,vfd,,
604_0_3013297,ap m ef2 vfd freq,nae 104 n2 trunk 1 vfd 2 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 2,vfd,,
604_0_3013300,ap m ef2 vfd last flt,nae 104 n2 trunk 1 vfd 2 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 2,vfd,,
604_0_3013303,ap m ef2 vfd power,nae 104 n2 trunk 1 vfd 2 power,motor power,98.0,analog input,power,vfd power meter,ef 2,vfd,,
604_0_3013305,ap m ef2 vfd speed,nae 104 n2 trunk 1 vfd 2 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 2,vfd,,
604_0_3013306,ap m ef2 vfd torque,nae 104 n2 trunk 1 vfd 2 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 2,vfd,,
604_0_3013311,ap m ef3 vfd current,nae 104 n2 trunk 1 vfd 3 current,load current,3.0,analog input,current,current sensor,ef 3,vfd,,
604_0_3013312,ap m ef3 vfd drv tmp,nae 104 n2 trunk 1 vfd 3 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 3,vfd,,
604_0_3013313,ap m ef3 vfd energy k,nae 104 n2 trunk 1 vfd 3 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 3,vfd,,
604_0_3013314,ap m ef3 vfd energy m,nae 104 n2 trunk 1 vfd 3 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 3,vfd,,
604_0_3013315,ap m ef3 vfd last flt,nae 104 n2 trunk 1 vfd 3 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 3,vfd,,
604_0_3013319,ap m ef3 vfd speed,nae 104 n2 trunk 1 vfd 3 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 3,vfd,,
604_0_3013320,ap m ef3 vfd torque,nae 104 n2 trunk 1 vfd 3 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 3,vfd,,
604_0_3013324,ap m ef4 vfd current,nae 104 n2 trunk 1 vfd 4 current,load current,3.0,analog input,current,current sensor,ef 4,vfd,,
604_0_3013325,ap m ef4 vfd drv tmp,nae 104 n2 trunk 1 vfd 4 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 4,vfd,,
604_0_3013326,ap m ef4 vfd energy k,nae 104 n2 trunk 1 vfd 4 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 4,vfd,,
604_0_3013327,ap m ef4 vfd energy m,nae 104 n2 trunk 1 vfd 4 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 4,vfd,,
604_0_3013329,ap m ef4 vfd freq,nae 104 n2 trunk 1 vfd 4 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 4,vfd,,
604_0_3013332,ap m ef4 vfd last flt,nae 104 n2 trunk 1 vfd 4 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 4,vfd,,
604_0_3013335,ap m ef4 vfd power,nae 104 n2 trunk 1 vfd 4 power,motor power,98.0,analog input,power,vfd power meter,ef 4,vfd,,
604_0_3013337,ap m ef4 vfd speed,nae 104 n2 trunk 1 vfd 4 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 4,vfd,,
604_0_3013338,ap m ef4 vfd torque,nae 104 n2 trunk 1 vfd 4 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 4,vfd,,
604_0_3013343,ap m ef5 vfd current,nae 104 n2 trunk 1 vfd 5 current,load current,3.0,analog input,current,current sensor,ef 5,vfd,,
604_0_3013344,ap m ef5 vfd drv tmp,nae 104 n2 trunk 1 vfd 5 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 5,vfd,,
604_0_3013345,ap m ef5 vfd energy k,nae 104 n2 trunk 1 vfd 5 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 5,vfd,,
604_0_3013346,ap m ef5 vfd energy m,nae 104 n2 trunk 1 vfd 5 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 5,vfd,,
604_0_3013348,ap m ef5 vfd freq,nae 104 n2 trunk 1 vfd 5 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 5,vfd,,
604_0_3013351,ap m ef5 vfd last flt,nae 104 n2 trunk 1 vfd 5 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 5,vfd,,
604_0_3013354,ap m ef5 vfd power,nae 104 n2 trunk 1 vfd 5 power,motor power,98.0,analog input,power,vfd power meter,ef 5,vfd,,
604_0_3013356,ap m ef5 vfd speed,nae 104 n2 trunk 1 vfd 5 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 5,vfd,,
604_0_3013357,ap m ef5 vfd torque,nae 104 n2 trunk 1 vfd 5 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 5,vfd,,
604_0_3013361,current,nae 104 n2 trunk 1 vfd 6 current,,3.0,analog input,current,current sensor,,vfd,,
604_0_3013362,drv tmp,nae 104 n2 trunk 1 vfd 6 drv tmp,,62.0,analog input,drive temperature,drive temperature sensor,,vfd,,
604_0_3013363,energy k,nae 104 n2 trunk 1 vfd 6 energy k,,19.0,analog input,energy in kwh,energy sensor,,vfd,,
604_0_3013364,energy m,nae 104 n2 trunk 1 vfd 6 energy m,,49.0,analog input,energy in mwh,energy sensor,,vfd,,
604_0_3013365,freq,nae 104 n2 trunk 1 vfd 6 freq,,27.0,analog input,frequency,output frequency sensor,,vfd,,
604_0_3013366,last flt,nae 104 n2 trunk 1 vfd 6 last flt,,95.0,analog input,last fault,last fault code status,,vfd,,
604_0_3013367,speed,nae 104 n2 trunk 1 vfd 6 speed,,104.0,analog input,speed,motor speed sensor,,vfd,,
604_0_3013368,torque,nae 104 n2 trunk 1 vfd 6 torque,,98.0,analog input,torque,motor torque sensor,,vfd,,
604_0_3013378,ap m ef7 vfd current,nae 104 n2 trunk 1 vfd 7 current,load current,3.0,analog input,current,current sensor,ef 7,vfd,,
604_0_3013379,ap m ef7 vfd drv tmp,nae 104 n2 trunk 1 vfd 7 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 7,vfd,,
604_0_3013380,ap m ef7 vfd energy k,nae 104 n2 trunk 1 vfd 7 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 7,vfd,,
604_0_3013381,ap m ef7 vfd energy m,nae 104 n2 trunk 1 vfd 7 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 7,vfd,,
604_0_3013383,ap m ef7 vfd freq,nae 104 n2 trunk 1 vfd 7 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 7,vfd,,
604_0_3013386,ap m ef7 vfd last flt,nae 104 n2 trunk 1 vfd 7 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 7,vfd,,
604_0_3013389,ap m ef7 vfd power,nae 104 n2 trunk 1 vfd 7 power,motor power,98.0,analog input,power,vfd power meter,ef 7,vfd,,
604_0_3013391,ap m ef7 vfd speed,nae 104 n2 trunk 1 vfd 7 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 7,vfd,,
604_0_3013392,ap m ef7 vfd torque,nae 104 n2 trunk 1 vfd 7 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 7,vfd,,
604_0_3013397,ap m ef8 vfd current,nae 104 n2 trunk 1 vfd 8 current,load current,3.0,analog input,current,current sensor,ef 8,vfd,,
604_0_3013398,ap m ef8 vfd drv tmp,nae 104 n2 trunk 1 vfd 8 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 8,vfd,,
604_0_3013399,ap m ef8 vfd energy k,nae 104 n2 trunk 1 vfd 8 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 8,vfd,,
604_0_3013400,ap m ef8 vfd energy m,nae 104 n2 trunk 1 vfd 8 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 8,vfd,,
604_0_3013402,ap m ef8 vfd freq,nae 104 n2 trunk 1 vfd 8 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 8,vfd,,
604_0_3013405,ap m ef8 vfd last flt,nae 104 n2 trunk 1 vfd 8 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 8,vfd,,
604_0_3013408,ap m ef8 vfd power,nae 104 n2 trunk 1 vfd 8 power,motor power,98.0,analog input,power,vfd power meter,ef 8,vfd,,
604_0_3013410,ap m ef8 vfd speed,nae 104 n2 trunk 1 vfd 8 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 8,vfd,,
604_0_3013411,ap m ef8 vfd torque,nae 104 n2 trunk 1 vfd 8 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 8,vfd,,
604_0_3013416,ap m ef9 vfd current,nae 104 n2 trunk 1 vfd 9 current,load current,3.0,analog input,current,current sensor,ef 9,vfd,,
604_0_3013417,ap m ef9 vfd drv tmp,nae 104 n2 trunk 1 vfd 9 drv tmp,vfd temperature,62.0,analog input,drive temperature,drive temperature sensor,ef 9,vfd,,
604_0_3013418,ap m ef9 vfd energy k,nae 104 n2 trunk 1 vfd 9 energy k,vfd energy kwh,19.0,analog input,energy in kwh,energy sensor,ef 9,vfd,,
604_0_3013419,ap m ef9 vfd energy m,nae 104 n2 trunk 1 vfd 9 energy m,vfd energy mwh,49.0,analog input,energy in mwh,energy sensor,ef 9,vfd,,
604_0_3013421,ap m ef9 vfd freq,nae 104 n2 trunk 1 vfd 9 freq,output frequency,27.0,analog input,frequency,output frequency sensor,ef 9,vfd,,
604_0_3013424,ap m ef9 vfd last flt,nae 104 n2 trunk 1 vfd 9 last flt,last fault code,95.0,analog input,last fault,last fault code status,ef 9,vfd,,
604_0_3013427,ap m ef9 vfd power,nae 104 n2 trunk 1 vfd 9 power,motor power,98.0,analog input,power,vfd power meter,ef 9,vfd,,
604_0_3013429,ap m ef9 vfd speed,nae 104 n2 trunk 1 vfd 9 speed,motor speed,104.0,analog input,speed,motor speed sensor,ef 9,vfd,,
604_0_3013430,ap m ef9 vfd torque,nae 104 n2 trunk 1 vfd 9 torque,motor torque,98.0,analog input,torque,motor torque sensor,ef 9,vfd,,
604_0_3013434,current,nae 104 n2 trunk 1 vfd 10 current,,3.0,analog input,current,current sensor,,vfd,,
604_0_3013435,drv tmp,nae 104 n2 trunk 1 vfd 10 drv tmp,,62.0,analog input,drive temperature,drive temperature sensor,,vfd,,
604_0_3013436,energy k,nae 104 n2 trunk 1 vfd 10 energy k,,19.0,analog input,energy in kwh,energy sensor,,vfd,,
604_0_3013437,energy m,nae 104 n2 trunk 1 vfd 10 energy m,,49.0,analog input,energy in mwh,energy sensor,,vfd,,
604_0_3013438,freq,nae 104 n2 trunk 1 vfd 10 freq,,27.0,analog input,frequency,output frequency sensor,,vfd,,
604_0_3013439,last flt,nae 104 n2 trunk 1 vfd 10 last flt,,95.0,analog input,last fault,last fault code status,,vfd,,
604_0_3013440,speed,nae 104 n2 trunk 1 vfd 10 speed,,104.0,analog input,speed,motor speed sensor,,vfd,,
604_0_3013441,torque,nae 104 n2 trunk 1 vfd 10 torque,,98.0,analog input,torque,motor torque sensor,,vfd,,
