bas_raw,point_type,haystack
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7517/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7601/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7607/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7609/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7701/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7703/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7705/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7707/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7709/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7711/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7713/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7715/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7717/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7719/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room 7723/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7407/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/OCC Sensor","OCC Sensor","occ sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7411/ZTMP LO","ZTMP LO","zone air temp min"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Airflow","Airflow","vav air flow sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Airflow Request","Airflow Request","air flow cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Airflow Setpoint","Airflow Setpoint","vav air flow sp"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Cool Request","Cool Request","vav cool cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Damper Position","Damper Position","vav damper sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Discharge Temp","Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Heat Request","Heat Request","vav heat cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/HWV Command","HWV Command","vav hot water valve cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Max CO2 Level","Max CO2 Level","max co2"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/OA Temp","OA Temp","outside air temp sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Run","Run","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Run Request","Run Request","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Schedule","Schedule","cmd"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/ZCO2_HI","ZCO2_HI","zone co2 max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/Zone CO2","Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/ZTMP HI","ZTMP HI","zone air temp max"
"CMU/SCSC Hillman/Seventh Floor/VAV Room7412/ZTMP LO","ZTMP LO","zone air temp min"
